"","permutation","a","b","c","d","tau","r_lower","r_upper","intervention"
"1","1",0,1338,40,203290,0,0,100,"Intervention"
"2","1",2,4124,40,203290,2.46471871968962,0,200,"Intervention"
"3","1",4,15470,40,203290,1.31409179056238,0,500,"Intervention"
"4","1",6,24444,40,203290,1.24748404516446,0,750,"Intervention"
"5","1",8,32068,40,203290,1.2678682799052,0,1000,"Intervention"
"6","2",0,1286,40,203290,0,0,100,"Intervention"
"7","2",0,3866,40,203290,0,0,200,"Intervention"
"8","2",4,14942,40,203290,1.36052737250703,0,500,"Intervention"
"9","2",6,23982,40,203290,1.27151613710283,0,750,"Intervention"
"10","2",10,31896,40,203290,1.59338161524956,0,1000,"Intervention"
"11","3",2,1182,40,203290,8.59940778341794,0,100,"Intervention"
"12","3",2,3850,40,203290,2.64012987012987,0,200,"Intervention"
"13","3",4,14964,40,203290,1.35852713178295,0,500,"Intervention"
"14","3",4,24218,40,203290,0.839416962589809,0,750,"Intervention"
"15","3",4,31908,40,203290,0.637112949730475,0,1000,"Intervention"
"16","4",2,1296,40,203290,7.84297839506173,0,100,"Intervention"
"17","4",4,3932,40,203290,5.17014242115972,0,200,"Intervention"
"18","4",10,14742,40,203290,3.44746303079636,0,500,"Intervention"
"19","4",12,23496,40,203290,2.59563329928499,0,750,"Intervention"
"20","4",14,30776,40,203290,2.31191512867169,0,1000,"Intervention"
"21","5",0,1368,40,203290,0,0,100,"Intervention"
"22","5",0,4032,40,203290,0,0,200,"Intervention"
"23","5",0,14910,40,203290,0,0,500,"Intervention"
"24","5",4,24176,40,203290,0.840875248180013,0,750,"Intervention"
"25","5",4,31960,40,203290,0.63607634543179,0,1000,"Intervention"
"26","6",0,1212,40,203290,0,0,100,"Intervention"
"27","6",0,3832,40,203290,0,0,200,"Intervention"
"28","6",4,14952,40,203290,1.35961744248261,0,500,"Intervention"
"29","6",4,23728,40,203290,0.856751517194875,0,750,"Intervention"
"30","6",4,31564,40,203290,0.644056520086174,0,1000,"Intervention"
"31","7",0,1230,40,203290,0,0,100,"Intervention"
"32","7",0,3808,40,203290,0,0,200,"Intervention"
"33","7",0,14428,40,203290,0,0,500,"Intervention"
"34","7",0,23392,40,203290,0,0,750,"Intervention"
"35","7",0,30886,40,203290,0,0,1000,"Intervention"
"36","8",0,1256,40,203290,0,0,100,"Intervention"
"37","8",0,3936,40,203290,0,0,200,"Intervention"
"38","8",2,15192,40,203290,0.669069246972091,0,500,"Intervention"
"39","8",2,24188,40,203290,0.420229039192988,0,750,"Intervention"
"40","8",4,31762,40,203290,0.640041559095775,0,1000,"Intervention"
"41","9",0,1220,40,203290,0,0,100,"Intervention"
"42","9",0,3914,40,203290,0,0,200,"Intervention"
"43","9",0,14866,40,203290,0,0,500,"Intervention"
"44","9",2,24162,40,203290,0.420681234997103,0,750,"Intervention"
"45","9",2,31650,40,203290,0.321153238546603,0,1000,"Intervention"
"46","10",0,1322,40,203290,0,0,100,"Intervention"
"47","10",0,4014,40,203290,0,0,200,"Intervention"
"48","10",0,15212,40,203290,0,0,500,"Intervention"
"49","10",4,24396,40,203290,0.83329234300705,0,750,"Intervention"
"50","10",6,31746,40,203290,0.960546210546211,0,1000,"Intervention"
"51","11",0,1266,40,203290,0,0,100,"Intervention"
"52","11",0,3858,40,203290,0,0,200,"Intervention"
"53","11",0,15158,40,203290,0,0,500,"Intervention"
"54","11",0,24428,40,203290,0,0,750,"Intervention"
"55","11",4,32366,40,203290,0.628097386145956,0,1000,"Intervention"
"56","12",0,1258,40,203290,0,0,100,"Intervention"
"57","12",2,3862,40,203290,2.63192646297255,0,200,"Intervention"
"58","12",2,14770,40,203290,0.688185511171293,0,500,"Intervention"
"59","12",2,23868,40,203290,0.425863080274845,0,750,"Intervention"
"60","12",2,31402,40,203290,0.32368957391249,0,1000,"Intervention"
"61","13",0,1240,40,203290,0,0,100,"Intervention"
"62","13",0,3884,40,203290,0,0,200,"Intervention"
"63","13",6,14908,40,203290,2.04544539844379,0,500,"Intervention"
"64","13",8,24062,40,203290,1.68971822791123,0,750,"Intervention"
"65","13",10,31948,40,203290,1.5907881557531,0,1000,"Intervention"
