"","permutation","a","b","c","d","tau","r_lower","r_upper","intervention"
"1","1",8,28380,146,770342,1.48733335264078,300,500,"Intervention"
"2","1",10,34416,146,770342,1.53309945039899,500,750,"Intervention"
"3","1",4,28888,146,770342,0.730589181458481,750,1000,"Intervention"
"4","2",10,28924,146,770342,1.82419965028805,300,500,"Intervention"
"5","2",4,34200,146,770342,0.617112873507971,500,750,"Intervention"
"6","2",12,28646,146,770342,2.2102834888612,750,1000,"Intervention"
"7","3",4,29016,146,770342,0.727366290114854,300,500,"Intervention"
"8","3",2,34672,146,770342,0.304355968417925,500,750,"Intervention"
"9","3",4,29668,146,770342,0.711381295468943,750,1000,"Intervention"
"10","4",4,30024,146,770342,0.702946318744091,300,500,"Intervention"
"11","4",0,34744,146,770342,0,500,750,"Intervention"
"12","4",8,29060,146,770342,1.45252995691484,750,1000,"Intervention"
"13","5",4,29246,146,770342,0.721646046432764,300,500,"Intervention"
"14","5",4,34844,146,770342,0.605707159739772,500,750,"Intervention"
"15","5",8,29298,146,770342,1.44073044398748,750,1000,"Intervention"
"16","6",0,29564,146,770342,0,300,500,"Intervention"
"17","6",6,34904,146,770342,0.906998923073542,500,750,"Intervention"
"18","6",2,29670,146,770342,0.355666671283664,750,1000,"Intervention"
"19","7",6,29572,146,770342,1.07053599387796,300,500,"Intervention"
"20","7",8,35142,146,770342,1.20114166945379,500,750,"Intervention"
"21","7",8,29476,146,770342,1.43203014479391,750,1000,"Intervention"
"22","8",8,29344,146,770342,1.43847193797523,300,500,"Intervention"
"23","8",4,35166,146,770342,0.600160958709339,500,750,"Intervention"
"24","8",8,29646,146,770342,1.42381840882228,750,1000,"Intervention"
"25","9",0,29008,146,770342,0,300,500,"Intervention"
"26","9",8,34562,146,770342,1.22129855181833,500,750,"Intervention"
"27","9",2,28840,146,770342,0.365902570630593,750,1000,"Intervention"
"28","10",10,29768,146,770342,1.77247885934331,300,500,"Intervention"
"29","10",4,35440,146,770342,0.595520888091778,500,750,"Intervention"
"30","10",8,28878,146,770342,1.46168434614396,750,1000,"Intervention"
"31","11",2,29076,146,770342,0.362932663949178,300,500,"Intervention"
"32","11",2,34422,146,770342,0.306566444047014,500,750,"Intervention"
"33","11",6,28924,146,770342,1.09451979017283,750,1000,"Intervention"
"34","12",2,29400,146,770342,0.358932997856677,300,500,"Intervention"
"35","12",4,34944,146,770342,0.60397379447037,500,750,"Intervention"
"36","12",4,29352,146,770342,0.71903993847004,750,1000,"Intervention"
"37","13",6,28646,146,770342,1.1051417444306,300,500,"Intervention"
"38","13",2,34722,146,770342,0.303917693018441,500,750,"Intervention"
"39","13",6,28794,146,770342,1.09946136038615,750,1000,"Intervention"
"40","14",4,28886,146,770342,0.730639765767936,300,500,"Intervention"
"41","14",2,34984,146,770342,0.301641611507726,500,750,"Intervention"
"42","14",8,29748,146,770342,1.41893641750522,750,1000,"Intervention"
"43","15",10,29518,146,770342,1.78749070685451,300,500,"Intervention"
"44","15",6,35164,146,770342,0.900292640511856,500,750,"Intervention"
"45","15",2,29306,146,770342,0.360084287756306,750,1000,"Intervention"
"46","16",8,29378,146,770342,1.43680715324206,300,500,"Intervention"
"47","16",10,34578,146,770342,1.5259167876954,500,750,"Intervention"
"48","16",4,29080,146,770342,0.725765483974299,750,1000,"Intervention"
"49","17",10,28792,146,770342,1.83256288847359,300,500,"Intervention"
"50","17",10,35024,146,770342,1.50648557231988,500,750,"Intervention"
"51","17",4,29496,146,770342,0.715529572619087,750,1000,"Intervention"
"52","18",4,29130,146,770342,0.724519748505754,300,500,"Intervention"
"53","18",6,35264,146,770342,0.897739632797156,500,750,"Intervention"
"54","18",10,28934,146,770342,1.82356918106489,750,1000,"Intervention"
"55","19",0,28716,146,770342,0,300,500,"Intervention"
"56","19",2,33852,146,770342,0.311728410049223,500,750,"Intervention"
"57","19",4,29040,146,770342,0.72676516094947,750,1000,"Intervention"
"58","20",4,29198,146,770342,0.722832395163114,300,500,"Intervention"
"59","20",10,34784,146,770342,1.5168799069955,500,750,"Intervention"
"60","20",6,29346,146,770342,1.07878042700739,750,1000,"Intervention"
"61","21",0,28642,146,770342,0,300,500,"Intervention"
"62","21",4,33462,146,770342,0.63072321660309,500,750,"Intervention"
"63","21",2,28780,146,770342,0.366665397393548,750,1000,"Intervention"
"64","22",8,29050,146,770342,1.45302996722703,300,500,"Intervention"
"65","22",6,34272,146,770342,0.923724626837036,500,750,"Intervention"
"66","22",2,28904,146,770342,0.365092379497173,750,1000,"Intervention"
"67","23",8,29612,146,770342,1.42545321315498,300,500,"Intervention"
"68","23",12,34680,146,770342,1.82571455657202,500,750,"Intervention"
"69","23",2,29074,146,770342,0.362957630081389,750,1000,"Intervention"
"70","24",12,28818,146,770342,2.19709142972857,300,500,"Intervention"
"71","24",6,34062,146,770342,0.929419599875489,500,750,"Intervention"
"72","24",4,28888,146,770342,0.730589181458481,750,1000,"Intervention"
"73","25",6,29204,146,770342,1.08402583245305,300,500,"Intervention"
"74","25",10,34378,146,770342,1.53479407426062,500,750,"Intervention"
"75","25",10,28908,146,770342,1.82520930832059,750,1000,"Intervention"
"76","26",12,29990,146,770342,2.11122977065415,300,500,"Intervention"
"77","26",0,34930,146,770342,0,500,750,"Intervention"
"78","26",2,29276,146,770342,0.360453276984093,750,1000,"Intervention"
"79","27",4,29480,146,770342,0.715917919741269,300,500,"Intervention"
"80","27",6,34878,146,770342,0.907675050489102,500,750,"Intervention"
"81","27",6,28590,146,770342,1.10730641521367,750,1000,"Intervention"
"82","28",2,29188,146,770342,0.361540021138355,300,500,"Intervention"
"83","28",16,34986,146,770342,2.4129949435743,500,750,"Intervention"
"84","28",4,28938,146,770342,0.729326846152899,750,1000,"Intervention"
"85","29",12,28810,146,770342,2.19770152106622,300,500,"Intervention"
"86","29",2,34584,146,770342,0.305130411085655,500,750,"Intervention"
"87","29",6,29058,146,770342,1.08947244858417,750,1000,"Intervention"
"88","30",0,29478,146,770342,0,300,500,"Intervention"
"89","30",4,35032,146,770342,0.602456618919063,500,750,"Intervention"
"90","30",4,29464,146,770342,0.716306688636051,750,1000,"Intervention"
"91","31",4,28546,146,770342,0.739342124079472,300,500,"Intervention"
"92","31",6,34780,146,770342,0.910232616761325,500,750,"Intervention"
"93","31",4,29290,146,770342,0.720561975895275,750,1000,"Intervention"
"94","32",4,28794,146,770342,0.732974240257436,300,500,"Intervention"
"95","32",4,34594,146,770342,0.610084415620414,500,750,"Intervention"
"96","32",4,29230,146,770342,0.722041063084933,750,1000,"Intervention"
"97","33",8,29066,146,770342,1.45223011587233,300,500,"Intervention"
"98","33",6,34896,146,770342,0.907206854967873,500,750,"Intervention"
"99","33",12,29756,146,770342,2.12783239756412,750,1000,"Intervention"
"100","34",4,28802,146,770342,0.73277065043999,300,500,"Intervention"
"101","34",0,34504,146,770342,0,500,750,"Intervention"
"102","34",2,29246,146,770342,0.360823023216382,750,1000,"Intervention"
"103","35",4,29178,146,770342,0.723327859139509,300,500,"Intervention"
"104","35",4,35230,146,770342,0.599070686175776,500,750,"Intervention"
"105","35",2,29816,146,770342,0.353925078380276,750,1000,"Intervention"
"106","36",6,29550,146,770342,1.0713330088311,300,500,"Intervention"
"107","36",10,34558,146,770342,1.52679989249758,500,750,"Intervention"
"108","36",4,29356,146,770342,0.718941963277443,750,1000,"Intervention"
"109","37",8,30102,146,770342,1.4022497026093,300,500,"Intervention"
"110","37",10,35002,146,770342,1.50743245200079,500,750,"Intervention"
"111","37",4,29060,146,770342,0.726264978457419,750,1000,"Intervention"
"112","38",0,28932,146,770342,0,300,500,"Intervention"
"113","38",6,34630,146,770342,0.914175293414927,500,750,"Intervention"
"114","38",2,28904,146,770342,0.365092379497173,750,1000,"Intervention"
"115","39",4,29372,146,770342,0.718550329360364,300,500,"Intervention"
"116","39",2,34406,146,770342,0.306709008224911,500,750,"Intervention"
"117","39",6,29444,146,770342,1.0751898658796,750,1000,"Intervention"
"118","40",6,29172,146,770342,1.08521494621414,300,500,"Intervention"
"119","40",10,34720,146,770342,1.51967599898996,500,750,"Intervention"
"120","40",2,29378,146,770342,0.359201788310515,750,1000,"Intervention"
"121","41",6,30102,146,770342,1.05168727695698,300,500,"Intervention"
"122","41",4,35038,146,770342,0.602353452650625,500,750,"Intervention"
"123","41",6,29568,146,770342,1.0706808174702,750,1000,"Intervention"
"124","42",14,29110,146,770342,2.53756135207503,300,500,"Intervention"
"125","42",6,35008,146,770342,0.904304456437354,500,750,"Intervention"
"126","42",4,29752,146,770342,0.709372824481467,750,1000,"Intervention"
"127","43",6,29128,146,770342,1.08685424371597,300,500,"Intervention"
"128","43",8,35000,146,770342,1.20601487279843,500,750,"Intervention"
"129","43",4,29914,146,770342,0.705531198568316,750,1000,"Intervention"
"130","44",6,29472,146,770342,1.07416837713623,300,500,"Intervention"
"131","44",4,34562,146,770342,0.610649275909166,500,750,"Intervention"
"132","44",4,29730,146,770342,0.709897755599482,750,1000,"Intervention"
"133","45",4,29002,146,770342,0.727717408246762,300,500,"Intervention"
"134","45",4,34882,146,770342,0.605047310187851,500,750,"Intervention"
"135","45",6,28650,146,770342,1.10498744889909,750,1000,"Intervention"
"136","46",2,29950,146,770342,0.35234157385597,300,500,"Intervention"
"137","46",4,34998,146,770342,0.603041895936128,500,750,"Intervention"
"138","46",6,30258,146,770342,1.0462651335501,750,1000,"Intervention"
"139","47",4,29462,146,770342,0.716355314438008,300,500,"Intervention"
"140","47",10,34464,146,770342,1.53096421439564,500,750,"Intervention"
"141","47",4,28760,146,770342,0.733840760569284,750,1000,"Intervention"
