"","permutation","a","b","c","d","tau","r_lower","r_upper","intervention"
"1","1",2,4806,146,770342,2.19571996191975,0,100,"Intervention"
"2","1",2,14796,146,770342,0.71320830879875,0,200,"Intervention"
"3","1",12,57718,146,770342,1.09698501025534,0,500,"Intervention"
"4","1",16,93454,146,770342,0.903343260811634,0,750,"Intervention"
"5","1",28,123074,146,770342,1.20039018734914,0,1000,"Intervention"
"6","2",2,4542,146,770342,2.3233443718596,0,100,"Intervention"
"7","2",4,14418,146,770342,1.4638133079465,0,200,"Intervention"
"8","2",12,56110,146,770342,1.12842239925001,0,500,"Intervention"
"9","2",16,90606,146,770342,0.931737866100373,0,750,"Intervention"
"10","2",24,119630,146,770342,1.05852680467973,0,1000,"Intervention"
"11","3",2,5076,146,770342,2.07892634692402,0,100,"Intervention"
"12","3",2,15054,146,770342,0.700985129333486,0,200,"Intervention"
"13","3",10,56814,146,770342,0.928699804360395,0,500,"Intervention"
"14","3",10,91160,146,770342,0.57879717732483,0,750,"Intervention"
"15","3",16,120646,146,770342,0.699741732804158,0,1000,"Intervention"
"16","4",2,4766,146,770342,2.21414816134836,0,100,"Intervention"
"17","4",2,14558,146,770342,0.724868123161581,0,200,"Intervention"
"18","4",4,56352,146,770342,0.374525487542103,0,500,"Intervention"
"19","4",8,91202,146,770342,0.46282450547077,0,750,"Intervention"
"20","4",8,120112,146,770342,0.351426339982227,0,1000,"Intervention"
"21","5",2,4720,146,770342,2.23572672393778,0,100,"Intervention"
"22","5",4,14666,146,770342,1.4390604305177,0,200,"Intervention"
"23","5",8,56094,146,770342,0.752496176916341,0,500,"Intervention"
"24","5",14,90258,146,770342,0.818414001627602,0,750,"Intervention"
"25","5",16,119152,146,770342,0.708515518798597,0,1000,"Intervention"
"26","6",0,4748,146,770342,0,0,100,"Intervention"
"27","6",2,14662,146,770342,0.719726513230548,0,200,"Intervention"
"28","6",14,56554,146,770342,1.30615714112006,0,500,"Intervention"
"29","6",14,91492,146,770342,0.807375628021074,0,750,"Intervention"
"30","6",16,120384,146,770342,0.701264628986331,0,1000,"Intervention"
"31","7",2,4874,146,770342,2.16508619962788,0,100,"Intervention"
"32","7",4,14768,146,770342,1.42912109114116,0,200,"Intervention"
"33","7",16,57150,146,770342,1.47718357123168,0,500,"Intervention"
"34","7",22,92732,146,770342,1.25176779867629,0,750,"Intervention"
"35","7",26,122430,146,770342,1.12051124545309,0,1000,"Intervention"
"36","8",2,4768,146,770342,2.21321940792498,0,100,"Intervention"
"37","8",4,14840,146,770342,1.42218734999815,0,200,"Intervention"
"38","8",22,57380,146,770342,2.02298590984401,0,500,"Intervention"
"39","8",32,92360,146,770342,1.82808664131421,0,750,"Intervention"
"40","8",38,122132,146,770342,1.64166616941293,0,1000,"Intervention"
"41","9",4,4808,146,770342,4.38961320174139,0,100,"Intervention"
"42","9",8,14624,146,770342,2.88638679895687,0,200,"Intervention"
"43","9",10,56530,146,770342,0.933365481778374,0,500,"Intervention"
"44","9",14,91254,146,770342,0.809481348312448,0,750,"Intervention"
"45","9",14,120272,146,770342,0.614177954627046,0,1000,"Intervention"
"46","10",0,4742,146,770342,0,0,100,"Intervention"
"47","10",2,14432,146,770342,0.731196655833308,0,200,"Intervention"
"48","10",6,56426,146,770342,0.561051472919557,0,500,"Intervention"
"49","10",6,90436,146,770342,0.350058498949079,0,750,"Intervention"
"50","10",12,119282,146,770342,0.530807505088092,0,1000,"Intervention"
"51","11",0,4894,146,770342,0,0,100,"Intervention"
"52","11",0,14702,146,770342,0,0,200,"Intervention"
"53","11",6,57700,146,770342,0.548663611975024,0,500,"Intervention"
"54","11",20,91808,146,770342,1.14942381241137,0,750,"Intervention"
"55","11",24,119820,146,770342,1.05684828612782,0,1000,"Intervention"
"56","12",0,4740,146,770342,0,0,100,"Intervention"
"57","12",4,14982,146,770342,1.40870780095932,0,200,"Intervention"
"58","12",6,57600,146,770342,0.549616152968037,0,500,"Intervention"
"59","12",10,93134,146,770342,0.56652941659256,0,750,"Intervention"
"60","12",16,123794,146,770342,0.681947760762964,0,1000,"Intervention"
"61","13",0,4660,146,770342,0,0,100,"Intervention"
"62","13",2,14552,146,770342,0.725166996769262,0,200,"Intervention"
"63","13",10,55562,146,770342,0.949626555648312,0,500,"Intervention"
"64","13",14,89864,146,770342,0.822002258511797,0,750,"Intervention"
"65","13",16,118708,146,770342,0.711165558310227,0,1000,"Intervention"
"66","14",2,4960,146,770342,2.12754639858595,0,100,"Intervention"
"67","14",4,14942,146,770342,1.41247893682055,0,200,"Intervention"
"68","14",12,56126,146,770342,1.1281007166361,0,500,"Intervention"
"69","14",16,90638,146,770342,0.931408913434657,0,750,"Intervention"
"70","14",26,119854,146,770342,1.14459418776863,0,1000,"Intervention"
"71","15",0,4550,146,770342,0,0,100,"Intervention"
"72","15",6,14282,146,770342,2.2166286522167,0,200,"Intervention"
"73","15",16,56354,146,770342,1.49804878262218,0,500,"Intervention"
"74","15",22,90290,146,770342,1.28562334153117,0,750,"Intervention"
"75","15",30,119528,146,770342,1.3242876318084,0,1000,"Intervention"
"76","16",0,5102,146,770342,0,0,100,"Intervention"
"77","16",2,14932,146,770342,0.70671243885523,0,200,"Intervention"
"78","16",8,57480,146,770342,0.734351436115957,0,500,"Intervention"
"79","16",12,93054,146,770342,0.68041976510325,0,750,"Intervention"
"80","16",12,122536,146,770342,0.516711666954347,0,1000,"Intervention"
"81","17",0,4872,146,770342,0,0,100,"Intervention"
"82","17",2,14910,146,770342,0.707755207041335,0,200,"Intervention"
