"","permutation","a","b","c","d","tau","r_lower","r_upper","intervention"
"1","1",10,1556,1744,272574,1.00445007193227,0,100,"Untreated"
"2","1",40,4522,1744,272574,1.38250713129288,0,200,"Untreated"
"3","1",126,16372,1744,272574,1.2028369368602,0,500,"Untreated"
"4","1",224,27244,1744,272574,1.2850354054895,0,750,"Untreated"
"5","1",312,37956,1744,272574,1.28473070218437,0,1000,"Untreated"
"6","2",4,1514,1744,272574,0.412925841988535,0,100,"Untreated"
"7","2",16,4366,1744,272574,0.57276200162221,0,200,"Untreated"
"8","2",80,17014,1744,272574,0.734888591478362,0,500,"Untreated"
"9","2",144,27788,1744,272574,0.809921912039122,0,750,"Untreated"
"10","2",238,38720,1744,272574,0.960681782640837,0,1000,"Untreated"
"11","3",16,1488,1744,272574,1.68056377626517,0,100,"Untreated"
"12","3",32,4314,1744,272574,1.15933189572674,0,200,"Untreated"
"13","3",94,16386,1744,272574,0.896587851343225,0,500,"Untreated"
"14","3",164,27210,1744,272574,0.942005097963849,0,750,"Untreated"
"15","3",226,38020,1744,272574,0.929039701460844,0,1000,"Untreated"
"16","4",6,1694,1744,272574,0.553574136455704,0,100,"Untreated"
"17","4",30,4682,1744,272574,1.00144659029898,0,200,"Untreated"
"18","4",110,17126,1744,272574,1.0038635659928,0,500,"Untreated"
"19","4",168,28012,1744,272574,0.937352864499749,0,750,"Untreated"
"20","4",232,39272,1744,272574,0.923300163900419,0,1000,"Untreated"
"21","5",12,1632,1744,272574,1.14920905288721,0,100,"Untreated"
"22","5",28,4512,1744,272574,0.969899838961546,0,200,"Untreated"
"23","5",118,16588,1744,272574,1.11179809987545,0,500,"Untreated"
"24","5",200,27780,1744,272574,1.12521548734817,0,750,"Untreated"
"25","5",280,38756,1744,272574,1.12916401935042,0,1000,"Untreated"
"26","6",6,1572,1744,272574,0.596535996918552,0,100,"Untreated"
"27","6",22,4494,1744,272574,0.765116485589349,0,200,"Untreated"
