"","permutation","a","b","c","d","tau","r_lower","r_upper","intervention"
"1","1",198,31706,5972,1045336,1.09309987114113,300,500,"Untreated"
"2","1",180,41212,5972,1045336,0.764513083444375,500,750,"Untreated"
"3","1",180,41468,5972,1045336,0.759793411664647,750,1000,"Untreated"
"4","2",172,32030,5972,1045336,0.939956198967018,300,500,"Untreated"
"5","2",234,41336,5972,1045336,0.990885599801201,500,750,"Untreated"
"6","2",264,41426,5972,1045336,1.11549347477109,750,1000,"Untreated"
"7","3",162,32742,5972,1045336,0.866055887710544,300,500,"Untreated"
"8","3",306,41682,5972,1045336,1.28501733197414,500,750,"Untreated"
"9","3",312,41664,5972,1045336,1.31077979881536,750,1000,"Untreated"
"10","4",180,32554,5972,1045336,0.967841530838286,300,500,"Untreated"
"11","4",238,43134,5972,1045336,0.965813632502908,500,750,"Untreated"
"12","4",178,41402,5972,1045336,0.752549011144645,750,1000,"Untreated"
"13","5",196,31866,5972,1045336,1.07662541514158,300,500,"Untreated"
"14","5",266,40962,5972,1045336,1.13667574145223,500,750,"Untreated"
"15","5",234,42076,5972,1045336,0.973458673671035,750,1000,"Untreated"
"16","6",188,31870,5972,1045336,1.03255190890824,300,500,"Untreated"
"17","6",134,40992,5972,1045336,0.572192022307589,500,750,"Untreated"
"18","6",270,41924,5972,1045336,1.12729390784191,750,1000,"Untreated"
"19","7",180,31800,5972,1045336,0.990789723110364,300,500,"Untreated"
"20","7",240,40808,5972,1045336,1.02944237061065,500,750,"Untreated"
"21","7",324,41394,5972,1045336,1.37007304804651,750,1000,"Untreated"
"22","8",156,32676,5972,1045336,0.835664241918277,300,500,"Untreated"
"23","8",196,41360,5972,1045336,0.829490944847716,500,750,"Untreated"
"24","8",170,41158,5972,1045336,0.722987463370781,750,1000,"Untreated"
"25","9",188,32126,5972,1045336,1.02432389145569,300,500,"Untreated"
"26","9",240,41252,5972,1045336,1.0183623644885,500,750,"Untreated"
"27","9",234,41832,5972,1045336,0.979136717187379,750,1000,"Untreated"
"28","10",164,31906,5972,1045336,0.899720457309522,300,500,"Untreated"
"29","10",180,41306,5972,1045336,0.762773282208628,500,750,"Untreated"
"30","10",162,41350,5972,1045336,0.685765462525239,750,1000,"Untreated"
"31","11",198,32888,5972,1045336,1.05381368628073,300,500,"Untreated"
"32","11",224,41836,5972,1045336,0.937203651780464,500,750,"Untreated"
"33","11",244,41606,5972,1045336,1.02652603785217,750,1000,"Untreated"
"34","12",184,32464,5972,1045336,0.992091894588084,300,500,"Untreated"
"35","12",170,41410,5972,1045336,0.718587732852321,500,750,"Untreated"
"36","12",230,41152,5972,1045336,0.978302125835548,750,1000,"Untreated"
"37","13",168,31768,5972,1045336,0.925668565283166,300,500,"Untreated"
"38","13",200,41874,5972,1045336,0.836029601898542,500,750,"Untreated"
"39","13",250,40840,5972,1045336,1.07149557877998,750,1000,"Untreated"
"40","14",206,32116,5972,1045336,1.12274693786264,300,500,"Untreated"
"41","14",268,41700,5972,1045336,1.12495421479293,500,750,"Untreated"
"42","14",216,40984,5972,1045336,0.922519418160538,750,1000,"Untreated"
"43","15",180,32210,5972,1045336,0.978177994253635,300,500,"Untreated"
"44","15",276,41606,5972,1045336,1.16115240347213,500,750,"Untreated"
"45","15",274,41822,5972,1045336,1.1467846555249,750,1000,"Untreated"
"46","16",158,31390,5972,1045336,0.881052685709482,300,500,"Untreated"
"47","16",216,41134,5972,1045336,0.9191553419043,500,750,"Untreated"
"48","16",296,40924,5972,1045336,1.26604675138919,750,1000,"Untreated"
"49","17",228,32386,5972,1045336,1.23229204121798,300,500,"Untreated"
"50","17",260,42256,5972,1045336,1.07701331443746,500,750,"Untreated"
"51","17",214,42988,5972,1045336,0.871370075332476,750,1000,"Untreated"
"52","18",220,31570,5972,1045336,1.21978758013587,300,500,"Untreated"
"53","18",222,40524,5972,1045336,0.958907633510722,500,750,"Untreated"
"54","18",208,40866,5972,1045336,0.890917136296567,750,1000,"Untreated"
"55","19",126,31910,5972,1045336,0.691161994247468,300,500,"Untreated"
"56","19",206,41122,5972,1045336,0.876857659072918,500,750,"Untreated"
"57","19",216,41782,5972,1045336,0.904900096546156,750,1000,"Untreated"
"58","20",210,32730,5972,1045336,1.12307664917185,300,500,"Untreated"
"59","20",288,41568,5972,1045336,1.21274492667088,500,750,"Untreated"
"60","20",254,42324,5972,1045336,1.05046870589671,750,1000,"Untreated"
"61","21",168,32120,5972,1045336,0.915524252238966,300,500,"Untreated"
"62","21",194,41646,5972,1045336,0.815388427301603,500,750,"Untreated"
"63","21",208,41584,5972,1045336,0.875534332721612,750,1000,"Untreated"
"64","22",160,31722,5972,1045336,0.882867500155086,300,500,"Untreated"
"65","22",198,40438,5972,1045336,0.857060797131424,500,750,"Untreated"
"66","22",206,40502,5972,1045336,0.890280496182819,750,1000,"Untreated"
"67","23",186,31466,5972,1045336,1.03468347744888,300,500,"Untreated"
"68","23",244,41484,5972,1045336,1.02954494096224,500,750,"Untreated"
"69","23",190,41674,5972,1045336,0.798039745942423,750,1000,"Untreated"
"70","24",182,32264,5972,1045336,0.987391279147303,300,500,"Untreated"
"71","24",244,41020,5972,1045336,1.04119069553577,500,750,"Untreated"
"72","24",234,41776,5972,1045336,0.980449232894065,750,1000,"Untreated"
"73","25",210,31300,5972,1045336,1.17438654081133,300,500,"Untreated"
"74","25",252,40926,5972,1045336,1.0777979395219,500,750,"Untreated"
"75","25",274,41580,5972,1045336,1.15345906357293,750,1000,"Untreated"
"76","26",200,32162,5972,1045336,1.08848652291212,300,500,"Untreated"
"77","26",240,41582,5972,1045336,1.01028051223797,500,750,"Untreated"
"78","26",280,40546,5972,1045336,1.20877682064468,750,1000,"Untreated"
"79","27",170,32194,5972,1045336,0.924293906237641,300,500,"Untreated"
"80","27",252,41368,5972,1045336,1.06628211353881,500,750,"Untreated"
"81","27",228,41636,5972,1045336,0.958521713106097,750,1000,"Untreated"
"82","28",178,32438,5972,1045336,0.960510332308113,300,500,"Untreated"
"83","28",176,41670,5972,1045336,0.73930777835161,500,750,"Untreated"
"84","28",246,41174,5972,1045336,1.04579883825658,750,1000,"Untreated"
"85","29",258,31848,5972,1045336,1.41799157182148,300,500,"Untreated"
"86","29",254,41966,5972,1045336,1.05942995540133,500,750,"Untreated"
"87","29",232,42582,5972,1045336,0.953669816304623,750,1000,"Untreated"
"88","30",180,31718,5972,1045336,0.993351194744611,300,500,"Untreated"
"89","30",212,40988,5972,1045336,0.905347364177162,500,750,"Untreated"
"90","30",246,41220,5972,1045336,1.04463176531724,750,1000,"Untreated"
"91","31",208,31632,5972,1045336,1.15099328818587,300,500,"Untreated"
"92","31",232,41306,5972,1045336,0.983130008180009,500,750,"Untreated"
"93","31",206,41130,5972,1045336,0.876687105674605,750,1000,"Untreated"
"94","32",164,32046,5972,1045336,0.89578983058471,300,500,"Untreated"
"95","32",228,41324,5972,1045336,0.965758640182109,500,750,"Untreated"
"96","32",262,41358,5972,1045336,1.10886294430022,750,1000,"Untreated"
"97","33",216,32318,5972,1045336,1.16989095345911,300,500,"Untreated"
"98","33",240,40646,5972,1045336,1.03354534910888,500,750,"Untreated"
"99","33",264,40940,5972,1045336,1.12873553214136,750,1000,"Untreated"
"100","34",182,32100,5972,1045336,0.992435895028305,300,500,"Untreated"
"101","34",222,41284,5972,1045336,0.941255036827548,500,750,"Untreated"
"102","34",198,41174,5972,1045336,0.841740528352857,750,1000,"Untreated"
"103","35",154,32518,5972,1045336,0.828958906864587,300,500,"Untreated"
"104","35",220,40982,5972,1045336,0.939648965518752,500,750,"Untreated"
"105","35",274,42804,5972,1045336,1.1204753729409,750,1000,"Untreated"
"106","36",168,32036,5972,1045336,0.917924802781733,300,500,"Untreated"
"107","36",246,41266,5972,1045336,1.04346729429497,500,750,"Untreated"
"108","36",240,41316,5972,1045336,1.01678488381933,750,1000,"Untreated"
"109","37",196,32278,5972,1045336,1.06288324799868,300,500,"Untreated"
"110","37",276,41480,5972,1045336,1.16467952986647,500,750,"Untreated"
"111","37",284,42308,5972,1045336,1.17498399926391,750,1000,"Untreated"
"112","38",188,32618,5972,1045336,1.00887330114984,300,500,"Untreated"
"113","38",294,42426,5972,1045336,1.21297360624033,500,750,"Untreated"
"114","38",236,41776,5972,1045336,0.988829140867518,750,1000,"Untreated"
"115","39",142,32002,5972,1045336,0.776689316931088,300,500,"Untreated"
"116","39",254,40906,5972,1045336,1.086883036923,500,750,"Untreated"
"117","39",232,41092,5972,1045336,0.988249978533132,750,1000,"Untreated"
"118","40",208,32326,5972,1045336,1.12628285874824,300,500,"Untreated"
"119","40",224,41070,5972,1045336,0.954683515361273,500,750,"Untreated"
"120","40",218,41762,5972,1045336,0.913716174258668,750,1000,"Untreated"
"121","41",184,32256,5972,1045336,0.998489312559138,300,500,"Untreated"
"122","41",238,41872,5972,1045336,0.994922746092387,500,750,"Untreated"
"123","41",242,41378,5972,1045336,1.02372186416401,750,1000,"Untreated"
"124","42",138,32414,5972,1045336,0.74521667950363,300,500,"Untreated"
"125","42",228,41520,5972,1045336,0.961199663942328,500,750,"Untreated"
"126","42",252,41478,5972,1045336,1.06345432453044,750,1000,"Untreated"
"127","43",168,31870,5972,1045336,0.922705961152043,300,500,"Untreated"
"128","43",226,41242,5972,1045336,0.959190412962186,500,750,"Untreated"
"129","43",232,41404,5972,1045336,0.980803017048678,750,1000,"Untreated"
"130","44",154,32392,5972,1045336,0.832183432125915,300,500,"Untreated"
"131","44",200,42024,5972,1045336,0.833045487100217,500,750,"Untreated"
"132","44",204,42426,5972,1045336,0.841655155350434,750,1000,"Untreated"
"133","45",172,31854,5972,1045336,0.945149653196258,300,500,"Untreated"
"134","45",302,41292,5972,1045336,1.28019796474737,500,750,"Untreated"
"135","45",268,40570,5972,1045336,1.15628766962942,750,1000,"Untreated"
"136","46",168,32132,5972,1045336,0.915182341028122,300,500,"Untreated"
"137","46",294,42312,5972,1045336,1.21624168600757,500,750,"Untreated"
"138","46",254,41212,5972,1045336,1.07881290663817,750,1000,"Untreated"
"139","47",204,32574,5972,1045336,1.0962135943052,300,500,"Untreated"
"140","47",248,42338,5972,1045336,1.02531532906314,500,750,"Untreated"
"141","47",256,41672,5972,1045336,1.07530515799269,750,1000,"Untreated"
"142","48",260,32074,5972,1045336,1.41891484114452,300,500,"Untreated"
"143","48",292,41276,5972,1045336,1.23828712042963,500,750,"Untreated"
"144","48",304,41472,5972,1045336,1.28308288473783,750,1000,"Untreated"
"145","49",216,32158,5972,1045336,1.17571166844616,300,500,"Untreated"
"146","49",182,42094,5972,1045336,0.756810762351133,500,750,"Untreated"
"147","49",212,42276,5972,1045336,0.877764636268651,750,1000,"Untreated"
"148","50",220,32650,5972,1045336,1.1794393232738,300,500,"Untreated"
"149","50",236,40754,5972,1045336,1.01362629898615,500,750,"Untreated"
"150","50",242,41380,5972,1045336,1.02367238509856,750,1000,"Untreated"
"151","51",238,32308,5972,1045336,1.2894455003213,300,500,"Untreated"
"152","51",276,40930,5972,1045336,1.18032999997218,500,750,"Untreated"
"153","51",174,40558,5972,1045336,0.750946202682888,750,1000,"Untreated"
"154","52",218,32018,5972,1045336,1.1917863348551,300,500,"Untreated"
"155","52",208,40866,5972,1045336,0.890917136296567,500,750,"Untreated"
"156","52",210,41812,5972,1045336,0.879132754410086,750,1000,"Untreated"
"157","53",180,32046,5972,1045336,0.983183960397852,300,500,"Untreated"
"158","53",174,41122,5972,1045336,0.740646760576154,500,750,"Untreated"
"159","53",228,41044,5972,1045336,0.972346994612744,750,1000,"Untreated"
"160","54",186,31650,5972,1045336,1.02866825596861,300,500,"Untreated"
"161","54",264,41250,5972,1045336,1.12025291359679,500,750,"Untreated"
"162","54",200,41534,5972,1045336,0.842873394084353,750,1000,"Untreated"
"163","55",176,32196,5972,1045336,0.956856600941471,300,500,"Untreated"
"164","55",242,42008,5972,1045336,1.00836896056414,500,750,"Untreated"
"165","55",244,42002,5972,1045336,1.01684782464829,750,1000,"Untreated"
"166","56",198,32108,5972,1045336,1.07941399384579,300,500,"Untreated"
"167","56",250,41476,5972,1045336,1.05506508432285,500,750,"Untreated"
"168","56",288,41184,5972,1045336,1.22405257167481,750,1000,"Untreated"
"169","57",198,31754,5972,1045336,1.09144751887638,300,500,"Untreated"
"170","57",260,41626,5972,1045336,1.0933136648938,500,750,"Untreated"
