"","permutation","a","b","c","d","tau","r_lower","r_upper","intervention"
"1","1",28,6102,5972,1045336,0.803196738280225,0,100,"Untreated"
"2","1",78,17390,5972,1045336,0.78511112044053,0,200,"Untreated"
"3","1",308,63970,5972,1045336,0.842772728886123,0,500,"Untreated"
"4","1",518,104860,5972,1045336,0.864681195825289,0,750,"Untreated"
"5","1",708,145294,5972,1045336,0.852946292115602,0,1000,"Untreated"
"6","2",24,5914,5972,1045336,0.710339605341215,0,100,"Untreated"
"7","2",104,17010,5972,1045336,1.07020046125501,0,200,"Untreated"
"8","2",346,63132,5972,1045336,0.959318145177187,0,500,"Untreated"
"9","2",562,105014,5972,1045336,0.936753280278988,0,750,"Untreated"
"10","2",764,147494,5972,1045336,0.906682248502422,0,1000,"Untreated"
"11","3",36,6146,5972,1045336,1.02528842157207,0,100,"Untreated"
"12","3",106,17360,5972,1045336,1.06878968211099,0,200,"Untreated"
"13","3",346,63426,5972,1045336,0.954871395663075,0,500,"Untreated"
"14","3",586,104174,5972,1045336,0.984632992888875,0,750,"Untreated"
"15","3",808,146538,5972,1045336,0.965155320405588,0,1000,"Untreated"
"16","4",36,6008,5972,1045336,1.04883865495704,0,100,"Untreated"
"17","4",96,17272,5972,1045336,0.972892178320506,0,200,"Untreated"
"18","4",384,63528,5972,1045336,1.05804015262258,0,500,"Untreated"
"19","4",606,104426,5972,1045336,1.01578101005684,0,750,"Untreated"
"20","4",798,146482,5972,1045336,0.953574740678712,0,1000,"Untreated"
"21","5",18,6064,5972,1045336,0.519576404929248,0,100,"Untreated"
"22","5",52,17344,5972,1045336,0.524795602108734,0,200,"Untreated"
"23","5",282,63502,5972,1045336,0.77731636807279,0,500,"Untreated"
"24","5",510,104820,5972,1045336,0.851651918071397,0,750,"Untreated"
"25","5",730,146946,5972,1045336,0.869563295068483,0,1000,"Untreated"
"26","6",34,6100,5972,1045336,0.975630098931626,0,100,"Untreated"
"27","6",88,17170,5972,1045336,0.897115757830856,0,200,"Untreated"
"28","6",304,64022,5972,1045336,0.831152000809836,0,500,"Untreated"
"29","6",568,105258,5972,1045336,0.944559521192828,0,750,"Untreated"
"30","6",810,147174,5972,1045336,0.963363157739092,0,1000,"Untreated"
"31","7",30,6238,5972,1045336,0.841805952626632,0,100,"Untreated"
"32","7",82,17540,5972,1045336,0.818314735202897,0,200,"Untreated"
"33","7",296,63278,5972,1045336,0.818794798411001,0,500,"Untreated"
