"","permutation","a","b","c","d","tau","r_lower","r_upper","intervention"
"1","1",4,2088,1962,522588,0.510258122722533,0,100,"Untreated"
"2","2",4,2036,1962,522588,0.523290255522912,0,100,"Untreated"
"3","3",8,1992,1962,522588,1.06969775124965,0,100,"Untreated"
"4","4",2,2010,1962,522588,0.265029592100659,0,100,"Untreated"
"5","5",8,1982,1962,522588,1.07509481356675,0,100,"Untreated"
"6","6",4,2018,1962,522588,0.527957859387834,0,100,"Untreated"
"7","7",18,2020,1962,522588,2.37345807975293,0,100,"Untreated"
"8","8",10,2124,1962,522588,1.25402419991131,0,100,"Untreated"
"9","9",4,2000,1962,522588,0.532709480122324,0,100,"Untreated"
"10","10",8,2012,1962,522588,1.0590645728078,0,100,"Untreated"
"11","11",8,2124,1962,522588,1.00321935992905,0,100,"Untreated"
"12","12",2,1988,1962,522588,0.267962515152075,0,100,"Untreated"
"13","13",10,1970,1962,522588,1.35205451807696,0,100,"Untreated"
"14","14",10,2004,1962,522588,1.32911546936708,0,100,"Untreated"
"15","15",6,1994,1962,522588,0.801468626061671,0,100,"Untreated"
"16","16",16,2052,1962,522588,2.07684007844961,0,100,"Untreated"
"17","17",4,2038,1962,522588,0.522776722396785,0,100,"Untreated"
"18","18",12,2002,1962,522588,1.59653190845851,0,100,"Untreated"
"19","19",0,2106,1962,522588,0,0,100,"Untreated"
"20","20",6,2006,1962,522588,0.796674197590714,0,100,"Untreated"
"21","21",12,2088,1962,522588,1.5307743681676,0,100,"Untreated"
"22","22",6,2074,1962,522588,0.770553732095937,0,100,"Untreated"
"23","23",12,1992,1962,522588,1.60454662687447,0,100,"Untreated"
"24","24",14,2002,1962,522588,1.86262055986827,0,100,"Untreated"
"25","25",6,2076,1962,522588,0.769811387460006,0,100,"Untreated"
"26","26",10,2024,1962,522588,1.31598191729823,0,100,"Untreated"
"27","27",12,2004,1962,522588,1.59493856324049,0,100,"Untreated"
"28","28",2,2094,1962,522588,0.254398032532151,0,100,"Untreated"
"29","29",4,2024,1962,522588,0.526392766919293,0,100,"Untreated"
"30","30",14,2106,1962,522588,1.77063929765255,0,100,"Untreated"
"31","31",4,2034,1962,522588,0.523804798547025,0,100,"Untreated"
"32","32",4,2058,1962,522588,0.517696287776797,0,100,"Untreated"
"33","33",2,2056,1962,522588,0.259099941693737,0,100,"Untreated"
